original_row_index,order_id,order_date,sales,quantity,discount,profit,region,state,city_type,outlet_type,category,sub_category,segment,ship_mode,scenario_id,change_type,original_discount,original_profit,new_discount,new_profit
82364,ORD082365,2023-03-12,24366.0,2,0.05,6884.42,West,Rajasthan,Tier 2,Medium,Household Items,Buckets,Consumer,Standard Class,s3_west_household_multimetric,discount_margin_squeeze,0.05,6884.42,0.25,5435.0684210526315
85464,ORD085465,2023-03-03,45047.6,1,0.5,2642.75,West,Gujarat,Village,Medium,Household Items,Mops,Corporate,Standard Class,s3_west_household_multimetric,discount_margin_squeeze,0.5,2642.75,0.7,1585.65
89722,ORD089723,2023-03-05,42218.11,3,0.39,5676.67,West,West Bengal,Tier 1,Medium,Household Items,Detergents,Corporate,Standard Class,s3_west_household_multimetric,discount_margin_squeeze,0.39,5676.67,0.5900000000000001,3815.466721311475
91439,ORD091440,2023-03-04,8372.95,3,0.27,1343.59,West,Karnataka,Village,Medium,Household Items,Buckets,Corporate,Same Day,s3_west_household_multimetric,discount_margin_squeeze,0.27,1343.59,0.47000000000000003,975.4831506849314
7613,ORD007614,2023-03-03,28106.01,5,0.66,1101.0837037037036,West,Karnataka,Tier 1,Large,Household Items,Mops,Corporate,Standard Class,s3_west_household_multimetric,row_removed_severe,,,,
21113,ORD021114,2023-03-01,31561.91,9,0.6699999999999999,2949.2722641509436,West,Tamil Nadu,Tier 2,Large,Household Items,Detergents,Consumer,Same Day,s3_west_household_multimetric,row_removed_severe,,,,
52371,ORD052372,2023-03-14,41464.94,7,0.31,6444.4992134831455,West,Rajasthan,Tier 1,Small,Household Items,Detergents,Consumer,Standard Class,s3_west_household_multimetric,row_removed_severe,,,,
58388,ORD058389,2023-03-02,15433.32,9,0.21000000000000002,2817.810303030303,West,Uttar Pradesh,Tier 2,Medium,Household Items,Utensils,Consumer,Same Day,s3_west_household_multimetric,row_removed_severe,,,,
53491,ORD053492,2023-03-07,1224.31,1,0.35,89.28705882352943,West,Maharashtra,Tier 1,Small,Household Items,Buckets,Consumer,Same Day,s3_west_household_multimetric,row_removed_severe,,,,
76217,ORD076218,2023-03-07,17772.22,9,0.2,3159.384,West,Karnataka,Tier 1,Small,Household Items,Detergents,Corporate,Same Day,s3_west_household_multimetric,row_removed_severe,,,,
